X,Y
30.4602304,50.4716288
30.4602304,50.3690912
30.6040352,50.4350592
30.5358784,50.4906048
30.5358784,50.4907712
30.4675072,50.363888
30.2931552,50.4511712
30.5431552,50.4930112
30.649136,50.4660032
30.474784,50.487296
30.512608,50.4887168
30.550432,50.4942464
30.550432,50.3546624
30.550432,50.3560768
30.550432,50.3768576
30.4064128,50.4681856
30.62608,50.4667392
30.5198848,50.4075008
30.5198848,50.4424448
30.5577088,50.3951136
30.5955328,50.5032352
30.4515136,50.4536768
30.7015136,50.48056
30.7015136,50.4803456
30.6333568,50.4321248
30.5271616,50.4882816
30.6406336,50.4731584
30.4284576,50.476608
30.5344384,50.4903616
30.5344384,50.3094624
30.5344384,50.4750432
30.5722624,50.4955744
30.2917152,50.4510112
30.5417152,50.416416
30.5795392,50.3952992
30.4051872,50.5196928
30.4430112,50.4469152
30.586816,50.4286304
30.586816,50.4286112
30.450288,50.511776
30.488112,50.4102816
30.488112,50.4890816
30.3440928,50.5239872
30.525936,50.4105408
30.3819168,50.495616
30.4953888,50.3515104
30.3210368,50.537392
30.4270176,50.4766336
30.4270176,50.4766048
30.5026656,50.4889408
30.5404896,50.4919552
30.5404896,50.4920096
30.3964704,50.432368
30.4721184,50.55848
30.4721184,50.5590656
30.5099424,50.4888192
30.5099424,50.4887936
30.5477664,50.4937216
30.5477664,50.4936768
30.5477664,50.4937248
30.3355904,50.454064
30.3734144,50.4565504
30.5172192,50.4884032
30.5550432,50.3896384
30.5550432,50.4946912
30.5550432,50.3888256
30.5550432,50.3895424
30.3806912,50.4945792
30.486672,50.489136
30.56232,50.4017728
30.56232,50.4955648
30.56232,50.4014592
30.600144,50.4334784
30.425792,50.4768576
30.675792,50.4734816
30.3195968,50.453008
30.5695968,50.4203136
30.5695968,50.4955968
30.5695968,50.4114688
30.5695968,50.4123168
30.3574208,50.5171424
30.4708928,50.447104
30.5390496,50.491536
30.5390496,50.3419136
30.5390496,50.4917728
30.5768736,50.3956704
30.3646976,50.5009056
30.4781696,50.5513024
30.5841504,50.4278144
30.4097984,50.479264
30.4854464,50.4889248
30.4854464,50.56768
30.5914272,50.4614208
30.6292512,50.4488448
30.5610944,50.4004032
30.7048992,50.4010976
30.3183712,50.5388288
30.5683712,50.4094496
30.5683712,50.424752
30.674352,50.4034336
30.462176,50.3727264
30.5681568,50.495536
30.5681568,50.495632
30.6059808,50.43592
30.6438048,50.39976
30.5376096,50.3287616
30.5376096,50.4913824
30.5376096,50.3251008
30.5376096,50.4913376
30.3632576,50.5084128
30.3632576,50.5096704
30.5070624,50.4889568
30.5448864,50.4932032
30.5448864,50.4932256
30.5448864,50.4019776
30.5827104,50.3952064
30.4461824,50.4554848
30.5521632,50.347984
30.5521632,50.4467584
30.5521632,50.3477856
30.5521632,50.4942336
30.5521632,50.381088
30.5899872,50.4296
30.5899872,50.394768
30.347264,50.4548288
30.597264,50.394368
30.597264,50.3943488
30.385088,50.4979264
30.422912,50.4771904
30.5667168,50.4295616
30.5667168,50.3984832
30.536384,50.319904
30.536384,50.3192256
30.4301888,50.4570112
30.2936608,50.4511712
30.5436608,50.4175264
30.4752896,50.4838592
30.5509376,50.3785216
30.5509376,50.3541984
30.3387616,50.4542624
30.4069184,50.5198848
30.4069184,50.5041536
30.4825664,50.5482144
30.4825664,50.4887552
30.5203904,50.4882208
30.5582144,50.3346752
30.5582144,50.4238304
30.5960384,50.4761504
30.6338624,50.43144
30.3154912,50.5406432
30.5654912,50.4954592
30.5654912,50.4049248
30.5654912,50.4049632
30.709296,50.4006496
30.534944,50.3421888
30.322768,50.4531456
30.572768,50.495392
30.610592,50.4885856
30.3300448,50.5321472
30.3300448,50.4536864
30.5800448,50.4266048
30.5800448,50.3954816
30.3678688,50.4398272
30.4435168,50.526208
30.5494976,50.359776
30.5494976,50.363456
30.5494976,50.3588928
30.5494976,50.3594976
30.5494976,50.359424
30.5873216,50.395024
30.6251456,50.4595712
30.4507936,50.3650688
30.4886176,50.3545952
30.5567744,50.3935776
30.5567744,50.3930176
30.5567744,50.4948736
30.5567744,50.3935712
30.3445984,50.4546208
30.7080704,50.4821536
30.4958944,50.3512768
30.5337184,50.2907872
30.5337184,50.3044704
30.6775232,50.4749248
30.5409952,50.49216
30.5409952,50.416288
30.396976,50.432336
30.5788192,50.3955776
30.472624,50.557344
30.548272,50.493744
